,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
568,Recreio dos Bandeirantes,2,1,1,80,1600.0,770.0,108.0
574,Laranjeiras,2,0,0,85,2100.0,700.0,95.0
583,Barra da Tijuca,2,1,1,88,2400.0,1313.0,0.0
585,Vargem Pequena,2,1,1,80,1100.0,650.0,0.0
596,Copacabana,2,0,0,110,2800.0,800.0,120.0
599,Recreio dos Bandeirantes,2,2,1,90,1500.0,720.0,199.0
612,Grajaú,3,2,1,90,2950.0,700.0,100.0
620,Recreio dos Bandeirantes,2,2,1,72,1580.0,900.0,140.0
624,Lagoa,2,1,1,90,2700.0,1350.0,250.0
640,Humaitá,3,1,0,95,2300.0,1300.0,120.0
643,Barra da Tijuca,2,1,0,90,2000.0,980.0,1600.0
674,Recreio dos Bandeirantes,2,1,1,75,2300.0,1220.0,134.0
678,Lagoa,2,1,0,77,2700.0,1050.0,302.0
687,Barra da Tijuca,3,1,3,80,2800.0,1300.0,0.0
701,Recreio dos Bandeirantes,4,2,2,160,1900.0,830.0,0.0
713,Tijuca,3,1,1,106,2050.0,872.0,1008.0
718,Vila Isabel,2,1,1,79,1300.0,950.0,30.0
722,Barra da Tijuca,2,1,1,102,2500.0,1478.0,255.0
728,Quintino Bocaiúva,2,0,0,80,900.0,170.0,0.0
731,Freguesia (Jacarepaguá),3,1,1,77,2000.0,580.0,80.0
735,Recreio dos Bandeirantes,3,2,1,185,2500.0,1355.0,2917.0
747,Recreio dos Bandeirantes,3,3,1,180,1300.0,1635.0,320.0
750,Barra da Tijuca,3,2,3,120,2800.0,1280.0,360.0
758,Tijuca,2,1,1,81,2350.0,849.0,80.0
761,São Francisco Xavier,3,1,0,90,1900.0,210.0,160.0
767,Tijuca,3,0,0,98,1700.0,390.0,93.0
772,Vila Valqueire,3,2,1,129,2200.0,755.0,195.0
787,Tijuca,2,1,0,88,1100.0,693.0,32.0
789,Recreio dos Bandeirantes,3,1,1,80,1700.0,900.0,195.0
802,Barra da Tijuca,2,1,0,74,2100.0,750.0,0.0
818,Barra da Tijuca,2,1,1,87,2300.0,1482.0,251.0
820,Barra da Tijuca,3,1,1,75,1900.0,750.0,60.0
830,Humaitá,2,1,0,72,2900.0,815.0,96.0
840,Tijuca,2,1,0,72,1500.0,734.0,0.0
842,Praia da Bandeira,2,1,0,90,1400.0,480.0,85.0
845,Tijuca,3,0,0,86,1500.0,690.0,83.0
898,Barra da Tijuca,2,2,1,75,1400.0,800.0,100.0
904,Tijuca,3,2,1,150,2000.0,1700.0,210.0
915,Vila Isabel,3,1,0,95,1250.0,650.0,60.0
928,Recreio dos Bandeirantes,3,1,1,82,2000.0,989.0,1313.0
941,Tijuca,2,1,1,85,1600.0,960.0,90.0
945,Méier,2,1,0,77,1000.0,925.0,0.0
953,Maracanã,2,1,1,85,2500.0,492.0,0.0
968,Laranjeiras,2,1,0,79,2300.0,780.0,118.0
971,Vila Isabel,2,0,0,80,1700.0,450.0,60.0
1002,Vila Isabel,2,2,1,91,2000.0,600.0,145.0
1013,Camorim,3,1,1,75,2100.0,680.0,0.0
1018,Vila Isabel,3,1,2,79,2200.0,622.0,122.0
1020,Tijuca,3,2,1,109,2500.0,742.0,105.0
1028,Jacarepaguá,3,1,1,78,2000.0,1200.0,110.0
1034,Recreio dos Bandeirantes,2,2,1,110,2300.0,648.0,156.0
1040,Freguesia (Jacarepaguá),3,1,1,81,1800.0,750.0,110.0
1050,Barra da Tijuca,2,1,1,90,2200.0,1392.0,289.0
1055,Barra da Tijuca,3,2,3,102,2700.0,1523.0,2944.0
1062,Recreio dos Bandeirantes,2,2,1,84,1600.0,510.0,185.0
1068,Jacarepaguá,2,1,1,80,1900.0,1300.0,100.0
1082,Barra da Tijuca,4,2,1,115,2800.0,1800.0,250.0
1097,Recreio dos Bandeirantes,3,2,1,80,2000.0,750.0,370.0
1098,Recreio dos Bandeirantes,2,1,1,72,1500.0,650.0,131.0
1109,Recreio dos Bandeirantes,3,2,3,180,1700.0,1080.0,390.0
1111,Recreio dos Bandeirantes,2,2,1,83,1900.0,768.0,0.0
1112,Tijuca,2,1,1,80,1500.0,500.0,30.0
1119,Tijuca,3,1,2,100,2500.0,1300.0,283.0
1123,Recreio dos Bandeirantes,4,2,1,200,2950.0,1000.0,350.0
1133,Recreio dos Bandeirantes,3,2,1,120,2700.0,790.0,200.0
1145,Tijuca,2,1,1,97,2500.0,660.0,0.0
1151,Méier,3,1,0,100,1000.0,600.0,100.0
1153,Barra da Tijuca,3,2,1,110,2000.0,1768.0,277.0
1164,Tijuca,3,0,0,80,1600.0,350.0,0.0
1181,Tijuca,2,1,1,84,2750.0,690.0,182.0
1197,Tijuca,3,2,1,120,2800.0,1600.0,170.0
1204,Tijuca,3,1,0,81,1750.0,597.0,94.0
1211,Vila Isabel,2,0,0,82,1700.0,350.0,0.0
1221,Tijuca,3,0,0,80,1600.0,660.0,98.0
1227,Freguesia (Jacarepaguá),2,2,1,145,2200.0,1036.0,2581.0
1228,Recreio dos Bandeirantes,2,1,1,110,1200.0,799.0,158.0
1233,Barra da Tijuca,2,1,1,77,2200.0,1236.0,141.0
1243,Recreio dos Bandeirantes,3,2,2,148,2500.0,780.0,230.0
1244,Centro,2,0,0,75,1500.0,935.0,73.0
1247,Botafogo,2,1,0,90,2500.0,654.0,95.0
1262,Barra da Tijuca,2,1,1,104,2000.0,1750.0,0.0
1263,Tijuca,3,1,1,82,1800.0,1100.0,112.0
1274,Recreio dos Bandeirantes,3,1,2,75,1500.0,1095.0,153.0
1275,Andaraí,2,1,1,80,1500.0,745.0,89.0
1281,Recreio dos Bandeirantes,2,2,1,83,1500.0,740.0,186.0
1282,Tijuca,3,0,3,110,2800.0,250.0,235.0
1293,Maracanã,2,1,1,85,1999.0,980.0,90.0
1296,Vila Valqueire,2,1,1,96,1200.0,315.0,0.0
1299,Recreio dos Bandeirantes,2,1,1,78,1800.0,900.0,180.0
1302,Barra da Tijuca,3,2,1,172,2300.0,1600.0,450.0
1310,Tijuca,3,2,1,85,2350.0,900.0,96.0
1312,Recreio dos Bandeirantes,2,2,2,85,2500.0,1068.0,124.0
1327,Tijuca,3,1,1,126,1800.0,1109.0,162.0
1343,Recreio dos Bandeirantes,3,1,1,82,2200.0,740.0,138.0
1353,Recreio dos Bandeirantes,3,2,1,78,1650.0,500.0,0.0
1354,Taquara,2,1,0,75,700.0,622.0,0.0
1369,Barra da Tijuca,2,1,1,86,2200.0,1050.0,0.0
1373,Barra da Tijuca,2,1,1,86,2900.0,1307.0,215.0
1380,Recreio dos Bandeirantes,3,2,1,145,2500.0,676.0,0.0
1425,Tijuca,3,2,1,102,2600.0,798.0,89.0
1426,Barra da Tijuca,3,1,1,90,2850.0,850.0,130.0
1433,Centro,3,1,0,95,2000.0,867.0,72.0
1450,Recreio dos Bandeirantes,2,1,1,72,2790.0,650.0,129.0
1453,Tijuca,3,1,0,125,2500.0,1100.0,200.0
1460,Rio Comprido,2,1,0,73,1490.0,491.0,14.0
1463,Tijuca,3,1,0,98,2200.0,630.0,0.0
1464,Vila Isabel,2,0,0,86,2000.0,468.0,19.0
1477,Barra da Tijuca,2,2,1,93,2700.0,1304.0,179.0
1483,Tijuca,2,0,0,81,1800.0,665.0,86.0
1489,Recreio dos Bandeirantes,3,2,1,109,2500.0,842.0,192.0
1496,Barra da Tijuca,2,1,1,78,2500.0,1300.0,300.0
1502,Glória,2,2,0,78,2470.0,738.0,121.0
1516,Jardim Guanabara,3,2,1,127,2500.0,620.0,293.0
1522,Vila da Penha,2,1,0,87,1300.0,500.0,0.0
1526,Tijuca,2,0,0,90,1400.0,600.0,35.0
1531,Recreio dos Bandeirantes,2,1,1,87,2000.0,600.0,176.0
1532,Lagoa,2,1,1,85,2200.0,1225.0,278.0
1539,Copacabana,4,0,0,103,2800.0,953.0,240.0
1540,Tijuca,2,0,0,75,1700.0,280.0,0.0
1549,Tijuca,2,0,0,89,1400.0,60.0,0.0
1553,Recreio dos Bandeirantes,2,1,1,105,2300.0,648.0,156.0
1560,Pechincha,2,1,0,80,1000.0,500.0,143.0
1565,Recreio dos Bandeirantes,3,2,1,84,2150.0,711.0,19.0
1569,Barra da Tijuca,3,2,1,112,2200.0,1752.0,256.0
1580,Tijuca,2,1,0,73,1700.0,500.0,0.0
1609,Barra da Tijuca,2,1,1,71,1500.0,720.0,0.0
1623,Barra da Tijuca,4,2,1,121,2800.0,1190.0,209.0
1624,Recreio dos Bandeirantes,3,1,1,83,2000.0,790.0,1655.0
1627,São Conrado,2,1,1,110,2900.0,1396.0,210.0
1631,Barra da Tijuca,2,1,1,80,2500.0,1310.0,0.0
1637,Pechincha,3,1,1,85,1300.0,765.0,0.0
1654,Copacabana,2,0,0,71,2400.0,605.0,0.0
1657,Tijuca,2,1,0,90,1700.0,470.0,91.0
1691,Recreio dos Bandeirantes,3,2,1,220,2500.0,1000.0,500.0
1707,Copacabana,2,0,0,81,2500.0,800.0,90.0
1715,Pilares,3,2,1,82,2200.0,630.0,70.0
1725,Leme,2,0,0,75,2500.0,760.0,177.0
1727,Barra da Tijuca,2,2,1,90,2800.0,1300.0,400.0
1737,Recreio dos Bandeirantes,2,2,1,99,1700.0,618.0,1075.0
1760,Jardim Botânico,2,1,2,79,2800.0,1727.0,193.0
1763,Pechincha,2,1,1,78,1200.0,650.0,120.0
1770,Andaraí,3,2,1,103,1600.0,700.0,160.0
1805,Barra da Tijuca,3,1,1,103,2600.0,1350.0,230.0
1843,Vila Isabel,2,1,0,135,2300.0,570.0,100.0
1847,Recreio dos Bandeirantes,2,1,1,79,1900.0,884.0,1445.0
1855,Barra da Tijuca,3,1,3,80,2800.0,1300.0,140.0
1864,Copacabana,2,0,0,72,2250.0,850.0,72.0
1874,Vila da Penha,2,1,0,72,1250.0,220.0,0.0
1881,Tijuca,4,1,1,190,2800.0,900.0,180.0
1886,Riachuelo,2,1,1,84,800.0,450.0,0.0
1889,Barra da Tijuca,3,1,1,86,2000.0,759.0,0.0
1891,Vila Isabel,2,0,0,92,1500.0,300.0,88.0
1907,Barra da Tijuca,2,1,1,96,2500.0,1603.0,235.0
1914,Bonsucesso,3,1,0,87,1000.0,755.0,29.0
1918,Laranjeiras,2,0,0,90,2200.0,650.0,119.0
1925,Vila Isabel,2,1,0,83,1100.0,600.0,98.0
1938,Recreio dos Bandeirantes,2,0,0,73,1250.0,788.0,0.0
1939,Botafogo,3,1,0,110,2500.0,1300.0,0.0
1953,Copacabana,3,0,0,120,2300.0,1900.0,2362.0
1958,Vila da Penha,2,0,1,100,1400.0,200.0,363.0
1979,Recreio dos Bandeirantes,3,0,1,79,2500.0,796.0,0.0
1981,Barra da Tijuca,3,1,1,98,2400.0,1380.0,150.0
2007,Botafogo,2,1,0,95,2500.0,870.0,0.0
2035,Barra da Tijuca,3,2,1,93,2500.0,1450.0,166.0
2038,Recreio dos Bandeirantes,3,2,1,150,2300.0,600.0,350.0
2047,Barra da Tijuca,2,1,1,74,1900.0,1300.0,0.0
2064,Recreio dos Bandeirantes,2,1,1,121,2370.0,890.0,250.0
2067,Santa Teresa,2,0,0,74,1600.0,1.0,1.0
2068,Méier,3,1,0,85,1300.0,755.0,70.0
2078,Pechincha,2,2,1,110,1800.0,600.0,132.0
2084,Méier,2,1,0,85,1250.0,450.0,60.0
2119,Botafogo,2,1,1,85,2700.0,1159.0,184.0
2121,Andaraí,2,2,1,103,1600.0,600.0,108.0
2124,Recreio dos Bandeirantes,2,2,1,114,2600.0,766.0,0.0
2130,Andaraí,3,0,1,97,1650.0,263.0,100.0
2136,Vila da Penha,3,1,1,90,2200.0,250.0,50.0
2137,Pechincha,2,1,0,77,1400.0,599.0,38.0
2145,Tijuca,3,1,1,140,1800.0,1147.0,0.0
2148,Barra da Tijuca,3,1,0,80,1700.0,1031.0,2195.0
2155,Tijuca,3,1,0,140,2300.0,680.0,114.0
2175,Barra da Tijuca,2,1,1,95,2200.0,1334.0,257.0
2183,Grajaú,2,2,1,90,2700.0,1713.0,260.0
2187,Barra da Tijuca,2,1,1,80,2500.0,1224.0,212.0
2189,Laranjeiras,2,1,0,80,2000.0,450.0,0.0
2192,Barra da Tijuca,3,2,1,105,2300.0,1500.0,0.0
2194,Recreio dos Bandeirantes,3,2,2,90,1950.0,715.0,154.0
2195,Tijuca,3,1,0,80,1900.0,700.0,60.0
2197,Recreio dos Bandeirantes,3,2,1,80,1900.0,650.0,137.0
2200,Barra da Tijuca,2,1,1,73,2700.0,1185.0,207.0
2202,Copacabana,3,1,0,81,2500.0,1000.0,1736.0
2206,Recreio dos Bandeirantes,2,1,1,76,2200.0,812.0,193.0
2217,Laranjeiras,3,1,1,150,2700.0,1570.0,180.0
2221,Recreio dos Bandeirantes,3,0,1,85,2100.0,791.0,0.0
2247,Pechincha,3,0,0,78,1500.0,726.0,80.0
2254,Recreio dos Bandeirantes,2,1,1,83,2000.0,1750.0,0.0
2260,Freguesia (Jacarepaguá),3,2,1,158,2500.0,1600.0,262.0
2261,Copacabana,3,1,1,90,2800.0,1200.0,150.0
2265,Recreio dos Bandeirantes,2,1,1,95,1650.0,630.0,142.0
2273,Copacabana,2,0,0,90,2400.0,880.0,112.0
2278,Bonsucesso,2,0,0,75,1000.0,475.0,0.0
2280,Recreio dos Bandeirantes,2,1,1,80,1600.0,1180.0,150.0
2283,Jardim Guanabara,3,2,1,125,2680.0,500.0,345.0
2292,Recreio dos Bandeirantes,3,3,1,128,2800.0,914.0,236.0
2293,Recreio dos Bandeirantes,3,1,1,90,1950.0,900.0,100.0
2299,Tijuca,3,1,0,107,2300.0,400.0,0.0
2305,Barra da Tijuca,2,1,2,82,2200.0,1200.0,0.0
2307,Tijuca,2,0,0,76,1800.0,700.0,24.0
2311,Engenho de Dentro,3,1,0,75,1000.0,650.0,0.0
2328,Barra da Tijuca,3,2,2,83,2400.0,607.0,1400.0
2338,Recreio dos Bandeirantes,3,1,1,76,2200.0,780.0,120.0
2343,Cosme Velho,2,1,0,87,2500.0,797.0,0.0
2351,Tijuca,3,1,1,87,2300.0,559.0,100.0
2352,Recreio dos Bandeirantes,3,1,1,130,2800.0,7366.0,157.0
2355,Jacarepaguá,2,1,1,80,2000.0,1300.0,1080.0
2364,Barra da Tijuca,4,2,1,115,2800.0,1890.0,250.0
2366,Vila Valqueire,3,1,0,94,1450.0,300.0,0.0
2367,Tijuca,4,1,0,160,2000.0,1032.0,1056.0
2394,Barra da Tijuca,3,2,3,145,2900.0,1800.0,0.0
2401,Recreio dos Bandeirantes,3,1,1,84,2000.0,810.0,0.0
2408,Flamengo,2,0,0,75,2400.0,635.0,119.0
2433,Copacabana,2,0,0,74,2000.0,900.0,132.0
2438,Ramos,2,0,0,75,1200.0,250.0,0.0
2440,Gávea,3,0,1,120,2700.0,880.0,238.0
2442,Recreio dos Bandeirantes,2,1,1,82,1400.0,620.0,0.0
2452,Tijuca,2,1,1,92,2900.0,907.0,0.0
2453,Recreio dos Bandeirantes,2,1,1,90,1700.0,549.0,212.0
2457,Copacabana,2,0,0,80,2400.0,995.0,180.0
2459,Tijuca,3,2,1,135,2000.0,920.0,2400.0
2464,Pechincha,3,2,1,113,1300.0,840.0,0.0
2470,Recreio dos Bandeirantes,3,1,1,91,1900.0,550.0,0.0
2511,Recreio dos Bandeirantes,3,3,1,120,2600.0,930.0,380.0
2521,Recreio dos Bandeirantes,3,1,1,81,1900.0,1014.0,80.0
2523,Pechincha,3,1,1,108,1350.0,900.0,114.0
2526,Barra da Tijuca,3,2,1,98,2800.0,1520.0,110.0
2533,Cachambi,3,1,0,77,1300.0,420.0,25.0
2540,Vila Valqueire,3,3,1,130,2000.0,275.0,0.0
2546,Centro,3,2,1,120,2500.0,1500.0,208.0
2547,Catete,2,0,0,71,1900.0,566.0,129.0
2551,Freguesia (Jacarepaguá),2,0,0,75,1300.0,200.0,125.0
2560,Leme,2,0,0,75,2600.0,878.0,0.0
2564,Tijuca,3,1,0,105,2200.0,684.0,132.0
2567,Todos os Santos,3,1,1,78,1300.0,571.0,0.0
2570,Barra da Tijuca,2,1,0,84,2200.0,900.0,2000.0
2580,Tijuca,3,1,0,75,1900.0,510.0,0.0
2591,Barra da Tijuca,3,2,1,90,2800.0,1517.0,359.0
2599,Tijuca,2,0,0,80,1600.0,250.0,20.0
2603,Copacabana,3,1,0,138,2800.0,1501.0,318.0
2605,Recreio dos Bandeirantes,3,2,1,120,2200.0,550.0,174.0
2611,Rocha,2,1,0,74,1250.0,630.0,38.0
2623,Barra da Tijuca,2,1,1,75,2100.0,638.0,0.0
2626,Barra da Tijuca,3,1,1,88,2300.0,803.0,0.0
2629,Tijuca,3,2,0,74,2500.0,713.0,95.0
2656,Freguesia (Jacarepaguá),3,1,1,100,2500.0,912.0,132.0
2661,Barra da Tijuca,2,1,0,73,2500.0,980.0,199.0
2665,Barra da Tijuca,2,1,1,74,1600.0,900.0,0.0
2667,Barra da Tijuca,2,1,1,95,2000.0,1800.0,100.0
2668,Tijuca,2,1,1,71,1400.0,600.0,0.0
2669,Recreio dos Bandeirantes,3,3,1,300,2900.0,1000.0,784.0
2670,Recreio dos Bandeirantes,2,1,2,85,2300.0,1350.0,142.0
2672,Tijuca,3,0,0,120,1800.0,616.0,118.0
2673,Recreio dos Bandeirantes,2,1,1,79,1800.0,1171.0,133.0
2676,Barra da Tijuca,2,1,1,72,1600.0,930.0,164.0
2682,Todos os Santos,2,0,0,72,1200.0,490.0,14.0
2683,Botafogo,2,1,1,85,2900.0,1400.0,0.0
2689,Recreio dos Bandeirantes,3,2,1,87,2600.0,777.0,224.0
2703,Recreio dos Bandeirantes,3,1,1,76,1800.0,850.0,150.0
2713,Recreio dos Bandeirantes,3,2,1,91,1900.0,1200.0,170.0
2718,Recreio dos Bandeirantes,3,2,1,124,2300.0,750.0,250.0
2720,Barra da Tijuca,3,1,1,92,2500.0,1200.0,1732.0
2724,Barra da Tijuca,2,1,0,78,2100.0,750.0,100.0
2735,Barra da Tijuca,2,1,1,89,2200.0,1144.0,101.0
2739,Recreio dos Bandeirantes,3,1,1,90,2000.0,800.0,257.0
2754,Tijuca,2,0,0,80,1400.0,618.0,70.0
2760,Glória,2,1,0,74,2200.0,725.0,125.0
2769,Freguesia (Jacarepaguá),3,2,1,128,2800.0,1000.0,0.0
2773,Vila da Penha,2,0,0,94,900.0,309.0,0.0
2775,Barra da Tijuca,2,1,1,72,2300.0,1200.0,241.0
2776,Barra da Tijuca,2,2,2,100,2800.0,1600.0,370.0
2779,Leme,3,0,0,155,2800.0,1300.0,291.0
2788,Barra da Tijuca,2,1,1,88,1900.0,1350.0,150.0
2789,Ipanema,3,0,0,90,2600.0,1310.0,155.0
2809,Jardim Guanabara,2,1,0,90,1700.0,400.0,1200.0
2820,Recreio dos Bandeirantes,3,2,1,132,2500.0,673.0,0.0
2821,Laranjeiras,3,0,0,111,2300.0,767.0,127.0
2824,Recreio dos Bandeirantes,3,3,1,86,1500.0,916.0,180.0
2825,Ipanema,2,0,0,75,2900.0,700.0,0.0
2832,Tijuca,3,0,0,120,2400.0,686.0,78.0
2841,Jardim Botânico,3,0,0,85,2500.0,790.0,0.0
2845,Recreio dos Bandeirantes,2,1,1,85,1500.0,570.0,180.0
2862,Recreio dos Bandeirantes,2,1,1,90,2200.0,1000.0,0.0
2867,Tijuca,2,1,1,80,1800.0,1181.0,0.0
2877,Recreio dos Bandeirantes,2,1,1,128,2800.0,770.0,289.0
2882,Tijuca,3,1,0,115,2250.0,1000.0,175.0
2883,Andaraí,2,0,0,75,1200.0,150.0,20.0
2890,Leme,2,1,0,90,2500.0,800.0,0.0
2892,Freguesia (Jacarepaguá),3,2,1,132,1800.0,1100.0,100.0
2895,Recreio dos Bandeirantes,3,1,1,96,2200.0,715.0,153.0
2903,Recreio dos Bandeirantes,3,2,1,88,2500.0,900.0,600.0
2911,Recreio dos Bandeirantes,2,1,1,75,2200.0,676.0,131.0
2915,Barra da Tijuca,3,1,2,97,2550.0,1306.0,256.0
2916,Freguesia (Jacarepaguá),2,1,1,86,1600.0,790.0,0.0
2922,Barra da Tijuca,2,1,1,90,2800.0,890.0,245.0
2926,Barra da Tijuca,2,1,2,90,2000.0,1490.0,0.0
2931,Recreio dos Bandeirantes,3,2,3,91,2500.0,650.0,100.0
2939,Copacabana,3,0,1,115,2900.0,950.0,102.0
2944,Botafogo,3,0,0,157,2700.0,970.0,200.0
2951,Tijuca,2,1,0,86,1100.0,534.0,0.0
2955,Laranjeiras,2,1,0,75,2200.0,895.0,107.0
2968,Flamengo,2,0,0,72,2250.0,671.0,132.0
2977,Grajaú,2,1,1,71,1700.0,863.0,0.0
2979,Barra da Tijuca,3,1,1,102,2500.0,1300.0,0.0
2985,Engenho Novo,2,1,0,84,700.0,700.0,37.0
2995,Tijuca,2,0,0,84,1300.0,550.0,91.0
3000,Tijuca,4,1,2,190,2000.0,1247.0,353.0
3007,Recreio dos Bandeirantes,3,2,1,100,2100.0,500.0,0.0
3014,Vila Isabel,3,1,0,80,1300.0,720.0,70.0
3018,Recreio dos Bandeirantes,2,1,2,75,1700.0,1020.0,170.0
3030,Barra da Tijuca,2,2,1,78,2490.0,1100.0,160.0
3036,Catete,2,0,0,71,2000.0,725.0,104.0
3041,Andaraí,2,1,1,73,1750.0,715.0,102.0
3046,Tijuca,3,0,0,75,1500.0,877.0,36.0
3047,Tijuca,3,0,0,75,2200.0,750.0,68.0
3052,Méier,2,0,1,87,1300.0,95.0,16.0
3057,Barra da Tijuca,2,1,1,80,1750.0,1200.0,87.0
3065,Vila Isabel,3,1,1,110,1800.0,835.0,99.0
